Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,"0.111 [-0.067,0.289]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,"0.095 [-0.087,0.277]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,"0.090 [-0.084,0.264]",1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
Gln,"0.079 [-0.096,0.254]",1.000,,Glutamine
M-HDL-PL%,"0.047 [-0.145,0.239]",1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
LDL-FC,"-0.011 [-0.185,0.163]",1.000,,Free Cholesterol in LDL
HDL-FC,"-0.044 [-0.241,0.152]",1.000,,Free Cholesterol in HDL
Citrate,"-0.139 [-0.315,0.038]",1.000,,Citrate
Acetate,"-0.460 [-0.634,-0.286]",0.051,,Acetate
Lactate,"-0.521 [-0.685,-0.357]",1.131e-04,***,Lactate
