Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-CE%,"0.187 [0.148,0.227]",6.027e-15,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Albumin,"0.187 [0.149,0.226]",2.520e-16,***,Albumin
S-HDL-CE,"0.181 [0.143,0.220]",4.688e-15,***,Cholesteryl Esters in Small HDL
S-HDL-C,"0.181 [0.142,0.219]",9.095e-15,***,Cholesterol in Small HDL
SM,"0.179 [0.138,0.220]",1.623e-12,***,Sphingomyelins
S-HDL-P,"0.176 [0.137,0.214]",8.724e-14,***,Concentration of Small HDL Particles
Total-P,"0.173 [0.132,0.214]",1.793e-11,***,Total-Concentration of Lipoprotein Particles
3-Hydroxybutyrate,"0.170 [0.131,0.209]",1.495e-12,***,3-Hydroxybutyrate
Glu-lactate,"0.166 [0.127,0.206]",5.763e-11,***,Glucose-lactate
M-LDL-C%,"0.166 [0.127,0.206]",3.452e-11,***,Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,"0.163 [0.123,0.203]",1.760e-10,***,Total-Esterified Cholesterol
HDL-P,"0.163 [0.122,0.204]",1.420e-09,***,Concentration of HDL Particles
XS-VLDL-FC%,"0.158 [0.119,0.197]",6.172e-10,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-C,"0.158 [0.118,0.198]",1.092e-09,***,Total-Cholesterol
S-HDL-FC,"0.156 [0.116,0.195]",1.856e-09,***,Free Cholesterol in Small HDL
S-LDL-C%,"0.155 [0.116,0.194]",1.854e-09,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC,"0.154 [0.115,0.193]",1.745e-09,***,Free Cholesterol in Medium LDL
M-LDL-C,"0.153 [0.114,0.191]",2.517e-09,***,Cholesterol in Medium LDL
LDL-FC,"0.150 [0.111,0.189]",1.185e-08,***,Free Cholesterol in LDL
Clinical LDL-C,"0.150 [0.111,0.188]",8.024e-09,***,Clinical LDL Cholesterol
L-LDL-PL,"0.149 [0.110,0.188]",1.305e-08,***,Phospholipids in Large LDL
M-LDL-CE,"0.149 [0.110,0.188]",1.365e-08,***,Cholesteryl Esters in Medium LDL
LDL-C,"0.149 [0.110,0.187]",1.150e-08,***,LDL Cholesterol
M-LDL-L,"0.147 [0.109,0.186]",2.010e-08,***,Total-Lipids in Medium LDL
L-LDL-FC,"0.146 [0.107,0.186]",6.470e-08,***,Free Cholesterol in Large LDL
IDL-FC%,"0.146 [0.107,0.185]",4.529e-08,***,Free Cholesterol to Total-Lipids in IDL percentage
LDL-L,"0.146 [0.107,0.184]",2.942e-08,***,Total-Lipids in LDL
LDL-CE,"0.146 [0.107,0.184]",3.366e-08,***,Cholesteryl Esters in LDL
L-LDL-C,"0.145 [0.106,0.184]",6.097e-08,***,Cholesterol in Large LDL
L-LDL-L,"0.145 [0.106,0.184]",6.081e-08,***,Total-Lipids in Large LDL
LDL-PL,"0.145 [0.106,0.183]",5.685e-08,***,Phospholipids in LDL
S-HDL-L,"0.144 [0.105,0.182]",9.657e-08,***,Total-Lipids in Small HDL
L-LDL-CE,"0.143 [0.104,0.182]",1.499e-07,***,Cholesteryl Esters in Large LDL
S-LDL-FC,"0.142 [0.103,0.181]",1.820e-07,***,Free Cholesterol in Small LDL
Total-FC,"0.142 [0.103,0.181]",3.655e-07,***,Total-Free Cholesterol
Cholines,"0.142 [0.101,0.183]",2.085e-06,***,Total-Cholines
IDL-FC,"0.142 [0.102,0.182]",6.958e-07,***,Free Cholesterol in IDL
M-HDL-C%,"0.141 [0.098,0.183]",1.808e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
Total-PL,"0.139 [0.099,0.179]",2.694e-06,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-C,"0.139 [0.100,0.178]",5.223e-07,***,Cholesterol in Small LDL
HDL-CE,"0.139 [0.095,0.183]",1.608e-04,***,Cholesteryl Esters in HDL
M-LDL-PL,"0.138 [0.099,0.176]",8.787e-07,***,Phospholipids in Medium LDL
XL-HDL-C%,"0.137 [0.095,0.178]",3.330e-05,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-P,"0.136 [0.097,0.175]",2.124e-06,***,Concentration of Medium LDL Particles
M-HDL-FC%,"0.136 [0.092,0.179]",2.428e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-C%,"0.135 [0.095,0.175]",7.206e-06,***,Cholesterol to Total-Lipids in Small HDL percentage
HDL-C,"0.135 [0.091,0.180]",4.759e-04,***,HDL Cholesterol
Non-HDL-C,"0.133 [0.095,0.172]",3.448e-06,***,Total-Cholesterol Minus HDL-C
S-LDL-CE,"0.133 [0.094,0.172]",4.893e-06,***,Cholesteryl Esters in Small LDL
Total-L,"0.132 [0.093,0.171]",6.859e-06,***,Total-Lipids in Lipoprotein Particles
PUFA,"0.132 [0.093,0.172]",1.296e-05,***,Polyunsaturated Fatty Acids
S-LDL-L,"0.131 [0.093,0.170]",7.999e-06,***,Total-Lipids in Small LDL
M-HDL-CE,"0.131 [0.089,0.173]",2.960e-04,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"0.130 [0.088,0.173]",4.370e-04,***,Cholesterol in Medium HDL
Phosphoglyc,"0.128 [0.087,0.168]",1.549e-04,***,Phosphoglycerides
ApoA1,"0.127 [0.085,0.170]",8.755e-04,***,Apolipoprotein A1
Omega-6,"0.127 [0.088,0.166]",5.576e-05,***,Omega-6 Fatty Acids
S-HDL-PL,"0.125 [0.086,0.164]",8.592e-05,***,Phospholipids in Small HDL
S-VLDL-FC%,"0.125 [0.084,0.165]",3.535e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C,"0.124 [0.084,0.164]",2.395e-04,***,Cholesterol in IDL
S-VLDL-PL%,"0.122 [0.082,0.163]",5.521e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-PL,"0.121 [0.082,0.160]",2.829e-04,***,Phospholipids in Small LDL
DHA,"0.121 [0.080,0.162]",0.001,**,Docosahexaenoic Acid
LDL-P,"0.121 [0.082,0.160]",2.646e-04,***,Concentration of LDL Particles
Lactate,"0.120 [0.083,0.157]",4.305e-05,***,Lactate
M-HDL-CE%,"0.120 [0.078,0.161]",0.004,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-FC,"0.120 [0.077,0.162]",0.009,**,Free Cholesterol in Medium HDL
S-HDL-CE%,"0.119 [0.079,0.159]",0.001,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
IDL-L,"0.119 [0.079,0.159]",0.001,**,Total-Lipids in IDL
IDL-CE,"0.116 [0.076,0.156]",0.003,**,Cholesteryl Esters in IDL
M-VLDL-C,"0.116 [0.077,0.155]",0.001,**,Cholesterol in Medium VLDL
M-VLDL-CE,"0.116 [0.077,0.156]",0.002,**,Cholesteryl Esters in Medium VLDL
ApoB,"0.115 [0.077,0.154]",0.001,**,Apolipoprotein B
M-HDL-P,"0.115 [0.073,0.157]",0.019,*,Concentration of Medium HDL Particles
L-LDL-P,"0.113 [0.074,0.152]",0.003,**,Concentration of Large LDL Particles
PC,"0.113 [0.072,0.154]",0.017,*,Phosphatidylcholines
L-LDL-C%,"0.112 [0.071,0.153]",0.019,*,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC,"0.112 [0.073,0.151]",0.005,**,Free Cholesterol in Small VLDL
Remnant-C,"0.112 [0.073,0.150]",0.004,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-PL,"0.110 [0.070,0.150]",0.018,*,Phospholipids in IDL
M-VLDL-FC,"0.110 [0.071,0.149]",0.009,**,Free Cholesterol in Medium VLDL
LA,"0.109 [0.070,0.149]",0.009,**,Linoleic Acid
S-LDL-P,"0.107 [0.068,0.146]",0.017,*,Concentration of Small LDL Particles
IDL-C%,"0.106 [0.066,0.146]",0.048,*,Cholesterol to Total-Lipids in IDL percentage
M-LDL-CE%,"0.104 [0.065,0.143]",0.043,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-LDL-TG%,"-0.110 [-0.150,-0.069]",0.027,*,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,"-0.114 [-0.154,-0.074]",0.004,**,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,"-0.114 [-0.153,-0.075]",0.002,**,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,"-0.115 [-0.156,-0.074]",0.007,**,Phospholipids to Total-Lipids in Small HDL percentage
Tyr,"-0.146 [-0.188,-0.104]",1.982e-06,***,Tyrosine
Val,"-0.147 [-0.189,-0.105]",2.042e-06,***,Valine
Gln,"-0.159 [-0.199,-0.120]",3.330e-10,***,Glutamine
M-HDL-PL%,"-0.169 [-0.212,-0.126]",3.533e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
Total-BCAA,"-0.205 [-0.247,-0.162]",1.214e-15,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,"-0.227 [-0.270,-0.183]",3.722e-19,***,Leucine
Phe,"-0.267 [-0.308,-0.226]",1.121e-31,***,Phenylalanine
Ile,"-0.272 [-0.314,-0.229]",3.217e-31,***,Isoleucine
