Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"36.523 [22.330,50.716]",0.106,,Linoleic Acid to Total-Fatty Acids percentage
Clinical LDL-C,"24.779 [10.895,38.663]",1.000,,Clinical LDL Cholesterol
ApoB,"22.689 [8.708,36.671]",1.000,,Apolipoprotein B
M-LDL-FC%,"14.413 [0.855,27.971]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,"8.236 [-8.087,24.558]",1.000,,HDL Cholesterol
DHA,"-1.799 [-15.844,12.245]",1.000,,Docosahexaenoic Acid
Omega-3%,"-3.793 [-17.827,10.241]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,"-12.208 [-26.387,1.971]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,"-12.595 [-25.532,0.343]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"-32.432 [-46.254,-18.611]",0.977,,Phospholipids to Total-Lipids in Large HDL percentage
