Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-CE,"0.023 [0.006,0.040]",1.000,,Total-Esterified Cholesterol
LDL-CE,"0.020 [0.003,0.037]",1.000,,Cholesteryl Esters in LDL
HDL-CE,"0.017 [-0.003,0.038]",1.000,,Cholesteryl Esters in HDL
VLDL-C,"0.014 [-0.003,0.032]",1.000,,VLDL Cholesterol
M-LDL-FC%,"0.007 [-0.010,0.023]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,"-0.000 [-0.017,0.016]",1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-PL%,"-0.001 [-0.018,0.016]",1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,"-0.006 [-0.023,0.011]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,"-0.008 [-0.025,0.009]",1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,"-0.009 [-0.026,0.008]",1.000,,Phospholipids to Total-Lipids in IDL percentage
