Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"17.461 [6.167,28.754]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,"11.281 [0.353,22.210]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,"10.840 [-0.433,22.113]",1.000,,Apolipoprotein B
Clinical LDL-C,"8.078 [-3.118,19.275]",1.000,,Clinical LDL Cholesterol
Val,"6.245 [-5.589,18.080]",1.000,,Valine
DHA,"-0.280 [-11.600,11.041]",1.000,,Docosahexaenoic Acid
Omega-3,"-0.483 [-11.887,10.920]",1.000,,Omega-3 Fatty Acids
M-LDL-PL%,"-6.761 [-17.975,4.454]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
MUFA,"-7.224 [-18.145,3.698]",1.000,,Monounsaturated Fatty Acids
L-HDL-PL%,"-31.434 [-42.569,-20.298]",0.007,**,Phospholipids to Total-Lipids in Large HDL percentage
