Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA%,"1.176 [1.151,1.201]",6.886e-46,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,"1.169 [1.144,1.195]",6.906e-41,***,Docosahexaenoic Acid
Unsaturation,"1.162 [1.137,1.188]",2.279e-35,***,Degree of Unsaturation
Omega-3%,"1.158 [1.133,1.183]",3.868e-35,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,"1.154 [1.129,1.180]",1.425e-32,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-CE,"1.137 [1.107,1.169]",3.018e-15,***,Cholesteryl Esters in Large HDL
L-HDL-C,"1.135 [1.104,1.166]",1.136e-14,***,Cholesterol in Large HDL
L-HDL-P,"1.132 [1.101,1.164]",7.317e-13,***,Concentration of Large HDL Particles
PUFA%,"1.128 [1.103,1.152]",2.995e-22,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-CE,"1.126 [1.098,1.154]",1.828e-15,***,Cholesteryl Esters in HDL
M-HDL-FC%,"1.125 [1.099,1.152]",1.138e-17,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-C,"1.125 [1.097,1.153]",3.704e-15,***,HDL Cholesterol
L-LDL-C%,"1.123 [1.099,1.148]",4.909e-20,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-FC,"1.123 [1.092,1.154]",4.974e-11,***,Free Cholesterol in Large HDL
Omega-3,"1.123 [1.099,1.147]",3.386e-20,***,Omega-3 Fatty Acids
XL-HDL-CE,"1.122 [1.091,1.154]",1.279e-10,***,Cholesteryl Esters in Very Large HDL
L-HDL-L,"1.121 [1.092,1.151]",3.640e-12,***,Total-Lipids in Large HDL
HDL-FC,"1.114 [1.086,1.143]",3.821e-11,***,Free Cholesterol in HDL
XS-VLDL-CE%,"1.112 [1.087,1.137]",1.463e-15,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-PL,"1.111 [1.082,1.141]",1.338e-09,***,Phospholipids in Large HDL
XL-HDL-C,"1.111 [1.080,1.142]",3.150e-08,***,Cholesterol in Very Large HDL
M-LDL-C%,"1.109 [1.084,1.134]",5.032e-14,***,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-C%,"1.109 [1.085,1.133]",6.021e-15,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,"1.103 [1.079,1.128]",1.079e-12,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C%,"1.102 [1.078,1.126]",7.308e-13,***,Cholesterol to Total-Lipids in IDL percentage
HDL-size,"1.101 [1.072,1.130]",1.211e-07,***,Average Diameter for HDL Particles
XL-HDL-P,"1.100 [1.069,1.131]",5.633e-06,***,Concentration of Very Large HDL Particles
M-HDL-C%,"1.099 [1.075,1.124]",1.482e-11,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-PL%,"1.099 [1.075,1.124]",2.128e-11,***,Phospholipids to Total-Lipids in Small VLDL percentage
HDL-L,"1.099 [1.073,1.126]",3.898e-09,***,Total-Lipids in HDL
XL-HDL-L,"1.097 [1.068,1.128]",9.132e-06,***,Total-Lipids in Very Large HDL
M-VLDL-C%,"1.096 [1.072,1.121]",1.625e-10,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-C,"1.094 [1.069,1.120]",1.863e-08,***,Cholesterol in Medium HDL
