Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"1.056 [0.950,1.174]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,"1.016 [0.913,1.131]",1.000,,VLDL Cholesterol
M-LDL-PL%,"1.014 [0.910,1.129]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
ApoB,"1.012 [0.911,1.125]",1.000,,Apolipoprotein B
LDL-C,"1.003 [0.904,1.112]",1.000,,LDL Cholesterol
SFA,"0.993 [0.902,1.093]",1.000,,Saturated Fatty Acids
Unsaturation,"0.955 [0.859,1.062]",1.000,,Degree of Unsaturation
Creatinine,"0.934 [0.832,1.048]",1.000,,Creatinine
M-LDL-FC%,"0.934 [0.851,1.025]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,"0.909 [0.790,1.045]",1.000,,Free Cholesterol in HDL
