Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
His,"10.291 [4.294,16.288]",1.000,,Histidine
Gly,"5.995 [-2.480,14.470]",1.000,,Glycine
M-LDL-FC%,"5.722 [-0.331,11.776]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Phe,"0.501 [-5.796,6.797]",1.000,,Phenylalanine
Tyr,"0.345 [-6.297,6.987]",1.000,,Tyrosine
VLDL-CE,"-0.164 [-6.492,6.163]",1.000,,Cholesteryl Esters in VLDL
M-LDL-PL%,"-0.860 [-7.072,5.352]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-CE,"-2.043 [-8.213,4.127]",1.000,,Cholesteryl Esters in LDL
Total-CE,"-2.638 [-8.935,3.658]",1.000,,Total-Esterified Cholesterol
HDL-CE,"-5.339 [-12.604,1.925]",1.000,,Cholesteryl Esters in HDL
