Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA%,"24.308 [12.592,36.024]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,"20.574 [8.951,32.198]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,"20.281 [8.628,31.934]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
DHA,"14.901 [2.859,26.943]",1.000,,Docosahexaenoic Acid
Omega-3%,"10.486 [-1.548,22.521]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,"-3.455 [-15.442,8.533]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-TG%,"-16.387 [-28.335,-4.440]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,"-22.831 [-34.985,-10.677]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"-28.463 [-40.316,-16.609]",0.581,,Phospholipids to Total-Lipids in Large HDL percentage
Creatinine,"-34.710 [-48.023,-21.396]",0.075,,Creatinine
