Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"4.075 [-0.167,8.318]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,"4.072 [-0.033,8.176]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,"3.892 [-0.342,8.126]",1.000,,Apolipoprotein B
Clinical LDL-C,"3.317 [-0.887,7.522]",1.000,,Clinical LDL Cholesterol
HDL-C,"1.880 [-3.061,6.821]",1.000,,HDL Cholesterol
Total-FA,"-0.435 [-4.521,3.651]",1.000,,Total-Fatty Acids
Citrate,"-0.530 [-4.866,3.806]",1.000,,Citrate
SFA,"-1.462 [-5.513,2.589]",1.000,,Saturated Fatty Acids
Creatinine,"-5.256 [-9.959,-0.552]",1.000,,Creatinine
L-HDL-PL%,"-11.490 [-15.673,-7.308]",0.017,*,Phospholipids to Total-Lipids in Large HDL percentage
