Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.28 [1.15-1.42],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.23 [1.09-1.38],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Val,1.05 [0.94-1.18],1.000,,Valine
Omega-3%,1.03 [0.91-1.15],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-C,1.00 [0.90-1.12],1.000,,VLDL Cholesterol
Remnant-C,0.93 [0.84-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.92 [0.82-1.02],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.91 [0.81-1.01],1.000,,LDL Cholesterol
Total-C,0.90 [0.81-1.01],1.000,,Total-Cholesterol
M-LDL-FC%,0.82 [0.73-0.91],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
