Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.09 [0.98-1.20],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,1.04 [0.93-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-C%,1.03 [0.93-1.14],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,1.02 [0.93-1.12],1.000,,Apolipoprotein B
Clinical LDL-C,1.01 [0.92-1.12],1.000,,Clinical LDL Cholesterol
Unsaturation,1.00 [0.90-1.11],1.000,,Degree of Unsaturation
Total-FA,0.96 [0.86-1.06],1.000,,Total-Fatty Acids
M-LDL-TG%,0.95 [0.86-1.05],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Creatinine,0.94 [0.85-1.04],1.000,,Creatinine
HDL-FC,0.90 [0.81-1.00],1.000,,Free Cholesterol in HDL
