Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-FC,1.07 [0.90-1.27],1.000,,Free Cholesterol in HDL
M-LDL-FC%,1.07 [0.89-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,1.03 [0.86-1.22],1.000,,Degree of Unsaturation
DHA,1.02 [0.86-1.21],1.000,,Docosahexaenoic Acid
Omega-3,1.00 [0.85-1.19],1.000,,Omega-3 Fatty Acids
Leu,0.98 [0.83-1.17],1.000,,Leucine
Total-BCAA,0.98 [0.82-1.17],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-C%,0.98 [0.83-1.16],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Val,0.97 [0.81-1.16],1.000,,Valine
His,0.84 [0.71-1.00],1.000,,Histidine
