Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA%,1.17 [1.00-1.37],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,1.15 [0.98-1.34],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,1.10 [0.93-1.29],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,1.09 [0.92-1.29],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,1.01 [0.86-1.20],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-FC%,0.95 [0.81-1.10],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,0.95 [0.82-1.10],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.92 [0.79-1.06],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-TG%,0.90 [0.77-1.05],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,0.83 [0.70-0.98],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
