Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.20 [1.04-1.38],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.14 [0.98-1.32],1.000,,Valine
Ile,1.13 [0.98-1.30],1.000,,Isoleucine
Total-BCAA,1.13 [0.98-1.30],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.10 [0.95-1.27],1.000,,Leucine
DHA,1.00 [0.85-1.17],1.000,,Docosahexaenoic Acid
Unsaturation,0.83 [0.71-0.98],1.000,,Degree of Unsaturation
M-LDL-FC%,0.80 [0.69-0.93],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,0.76 [0.65-0.89],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.76 [0.65-0.88],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
