Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.29 [1.22-1.38],6.269e-11,***,Creatinine
M-VLDL-TG%,1.19 [1.11-1.28],0.083,,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.18 [1.11-1.27],0.246,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.18 [1.10-1.26],0.897,,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-PL%,1.03 [0.96-1.11],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,0.85 [0.80-0.91],0.205,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.85 [0.80-0.91],0.199,,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.85 [0.79-0.90],0.216,,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-FC,0.83 [0.77-0.89],0.057,,Free Cholesterol in Very Large HDL
Gly,0.81 [0.75-0.87],0.006,**,Glycine
