Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.27 [1.06-1.51],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA%,1.09 [0.90-1.31],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA%,1.04 [0.85-1.27],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
MUFA,1.01 [0.84-1.22],1.000,,Monounsaturated Fatty Acids
LA,1.00 [0.83-1.20],1.000,,Linoleic Acid
VLDL-CE,0.97 [0.81-1.17],1.000,,Cholesteryl Esters in VLDL
PUFA/MUFA,0.94 [0.77-1.14],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.90 [0.75-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,0.85 [0.70-1.02],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.84 [0.70-1.02],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
