Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.32 [1.22-1.43],1.275e-06,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.29 [1.19-1.40],5.936e-05,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.28 [1.19-1.38],3.196e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.28 [1.18-1.38],1.869e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.27 [1.17-1.38],0.002,**,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.26 [1.16-1.37],0.012,*,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.26 [1.16-1.37],0.012,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
SFA%,1.26 [1.16-1.37],0.007,**,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.25 [1.15-1.36],0.023,*,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.25 [1.15-1.35],0.050,*,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-FC%,0.82 [0.76-0.88],0.010,*,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-C%,0.81 [0.76-0.88],0.018,*,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-C%,0.81 [0.75-0.88],0.032,*,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-CE%,0.81 [0.75-0.87],0.009,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-LDL-FC%,0.81 [0.75-0.87],0.014,*,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE%,0.81 [0.74-0.87],0.023,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-VLDL-CE%,0.81 [0.74-0.87],0.043,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-FC%,0.80 [0.74-0.87],0.007,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.80 [0.75-0.86],4.514e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-CE%,0.80 [0.74-0.86],0.002,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.80 [0.74-0.86],0.002,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.80 [0.74-0.86],0.001,**,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-C%,0.79 [0.73-0.86],0.002,**,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-C%,0.79 [0.74-0.86],5.651e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,0.79 [0.73-0.86],0.002,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.79 [0.73-0.86],0.002,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-C%,0.79 [0.73-0.86],0.002,**,Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-CE%,0.79 [0.73-0.86],0.007,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-CE%,0.79 [0.73-0.85],1.460e-04,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-LDL-C%,0.79 [0.73-0.85],3.799e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C%,0.79 [0.72-0.86],0.006,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-PL%,0.78 [0.72-0.85],6.291e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.78 [0.72-0.85],2.078e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Unsaturation,0.78 [0.72-0.85],0.003,**,Degree of Unsaturation
LA%,0.77 [0.71-0.84],1.347e-04,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,0.77 [0.71-0.84],4.938e-05,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.76 [0.70-0.83],2.013e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,0.75 [0.70-0.82],9.868e-07,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
