Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.27 [1.15-1.41],0.669,,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.26 [1.14-1.39],1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.13 [1.02-1.25],1.000,,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.09 [0.98-1.22],1.000,,Triglycerides to Phosphoglycerides ratio
M-LDL-PL%,1.09 [0.98-1.21],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Remnant-C,0.83 [0.75-0.92],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.82 [0.74-0.91],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.80 [0.72-0.89],1.000,,Total-Cholesterol
M-LDL-C%,0.79 [0.72-0.87],0.099,,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.78 [0.71-0.86],0.177,,Cholesterol to Total-Lipids in Large LDL percentage
