Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-TG,1.03 [0.85-1.24],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
M-LDL-PL%,1.02 [0.84-1.25],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-L,1.02 [0.85-1.24],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,1.02 [0.84-1.24],1.000,,Triglycerides in Very Small VLDL
XS-VLDL-PL,1.02 [0.83-1.24],1.000,,Phospholipids in Very Small VLDL
VLDL-C,0.96 [0.79-1.17],1.000,,VLDL Cholesterol
M-LDL-FC%,0.94 [0.78-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.86 [0.71-1.03],1.000,,Cholesteryl Esters in LDL
Total-CE,0.82 [0.68-0.99],1.000,,Total-Esterified Cholesterol
HDL-CE,0.72 [0.56-0.91],1.000,,Cholesteryl Esters in HDL
