Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.14 [0.99-1.31],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,1.07 [0.93-1.24],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,1.03 [0.89-1.19],1.000,,VLDL Cholesterol
Ile,1.01 [0.87-1.17],1.000,,Isoleucine
His,1.00 [0.87-1.15],1.000,,Histidine
Omega-3,0.99 [0.86-1.15],1.000,,Omega-3 Fatty Acids
PUFA,0.94 [0.81-1.09],1.000,,Polyunsaturated Fatty Acids
Omega-6,0.93 [0.81-1.08],1.000,,Omega-6 Fatty Acids
LA,0.92 [0.80-1.07],1.000,,Linoleic Acid
M-LDL-FC%,0.91 [0.79-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
