Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.13 [1.11-1.16],7.386e-24,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.13 [1.11-1.16],1.151e-22,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.12 [1.09-1.14],3.399e-19,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.11 [1.09-1.14],4.353e-15,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.10 [1.08-1.13],1.518e-11,***,Glycoprotein Acetyls
S-VLDL-TG%,1.10 [1.08-1.13],5.872e-12,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-PL%,1.10 [1.07-1.12],3.103e-10,***,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,1.10 [1.07-1.12],6.030e-11,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.10 [1.07-1.12],1.031e-10,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.09 [1.06-1.11],6.160e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.09 [1.06-1.11],2.919e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.08 [1.06-1.10],1.664e-07,***,Phospholipids to Total-Lipids in IDL percentage
MUFA%,1.08 [1.05-1.10],1.399e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.07 [1.04-1.09],0.008,**,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-C%,0.94 [0.92-0.96],0.035,*,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,0.94 [0.92-0.96],0.044,*,Phospholipids to Total-Lipids in Very Large VLDL percentage
Total-L,0.94 [0.92-0.96],0.024,*,Total-Lipids in Lipoprotein Particles
VLDL-C,0.94 [0.92-0.96],0.014,*,VLDL Cholesterol
Omega-6,0.94 [0.92-0.96],0.021,*,Omega-6 Fatty Acids
M-VLDL-P,0.94 [0.92-0.96],0.012,*,Concentration of Medium VLDL Particles
S-VLDL-C,0.94 [0.92-0.96],0.006,**,Cholesterol in Small VLDL
S-HDL-FC%,0.94 [0.92-0.96],0.023,*,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-PL,0.94 [0.92-0.96],0.003,**,Phospholipids in Medium VLDL
S-HDL-CE%,0.94 [0.92-0.96],0.002,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6%,0.94 [0.92-0.96],0.001,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
VLDL-CE,0.93 [0.91-0.96],1.926e-04,***,Cholesteryl Esters in VLDL
Tyr,0.93 [0.91-0.96],5.566e-04,***,Tyrosine
PUFA%,0.93 [0.91-0.96],5.297e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA,0.93 [0.91-0.95],8.265e-05,***,Linoleic Acid
XS-VLDL-C,0.93 [0.91-0.95],7.599e-05,***,Cholesterol in Very Small VLDL
S-VLDL-FC,0.93 [0.91-0.95],3.136e-05,***,Free Cholesterol in Small VLDL
M-VLDL-FC,0.93 [0.91-0.95],1.731e-05,***,Free Cholesterol in Medium VLDL
IDL-FC%,0.93 [0.91-0.95],8.308e-07,***,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.93 [0.91-0.95],4.608e-07,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-FC%,0.93 [0.91-0.95],4.338e-07,***,Free Cholesterol to Total-Lipids in Small LDL percentage
PUFA/MUFA,0.93 [0.91-0.95],8.557e-05,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,0.93 [0.91-0.94],3.395e-08,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE,0.92 [0.90-0.95],8.047e-07,***,Cholesteryl Esters in Very Small VLDL
S-HDL-C%,0.92 [0.90-0.94],1.983e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-CE%,0.92 [0.90-0.94],5.132e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-FC%,0.92 [0.90-0.94],2.657e-07,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-P,0.92 [0.90-0.94],1.572e-07,***,Concentration of Large LDL Particles
M-VLDL-C%,0.92 [0.90-0.94],7.954e-09,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.92 [0.90-0.94],4.241e-09,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.92 [0.90-0.94],8.071e-09,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-CE,0.92 [0.90-0.94],7.209e-09,***,Cholesteryl Esters in Medium LDL
ApoB/ApoA1,0.92 [0.90-0.94],1.017e-08,***,Apolipoprotein B to Apolipoprotein A1 ratio
LDL-P,0.92 [0.90-0.94],2.337e-09,***,Concentration of LDL Particles
Total-FC,0.92 [0.90-0.94],1.250e-09,***,Total-Free Cholesterol
S-LDL-CE,0.92 [0.90-0.94],9.450e-10,***,Cholesteryl Esters in Small LDL
S-LDL-P,0.92 [0.90-0.94],5.291e-10,***,Concentration of Small LDL Particles
S-LDL-C%,0.92 [0.90-0.94],4.715e-11,***,Cholesterol to Total-Lipids in Small LDL percentage
Remnant-C,0.92 [0.90-0.94],1.357e-10,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
ApoB,0.92 [0.90-0.94],1.459e-10,***,Apolipoprotein B
Total-C,0.92 [0.90-0.94],3.160e-10,***,Total-Cholesterol
M-LDL-L,0.91 [0.90-0.93],1.651e-10,***,Total-Lipids in Medium LDL
Total-CE,0.91 [0.89-0.93],2.672e-10,***,Total-Esterified Cholesterol
M-VLDL-C,0.91 [0.89-0.93],6.998e-11,***,Cholesterol in Medium VLDL
M-LDL-C%,0.91 [0.89-0.93],3.980e-13,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-P,0.91 [0.89-0.93],5.327e-11,***,Concentration of Medium LDL Particles
M-LDL-PL,0.91 [0.89-0.93],3.496e-11,***,Phospholipids in Medium LDL
S-VLDL-C%,0.91 [0.89-0.93],6.669e-12,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-PL,0.91 [0.89-0.93],6.232e-11,***,Phospholipids in IDL
