Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-FC%,1.05 [0.94-1.18],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-C%,1.04 [0.93-1.17],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.03 [0.92-1.17],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,1.03 [0.91-1.17],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.01 [0.90-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
ApoA1,0.95 [0.84-1.08],1.000,,Apolipoprotein A1
M-LDL-FC%,0.94 [0.84-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.92 [0.82-1.03],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.91 [0.81-1.03],1.000,,Valine
ApoB,0.89 [0.80-1.00],1.000,,Apolipoprotein B
