Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.44 [1.26-1.64],0.020,*,Phospholipids to Total-Lipids in IDL percentage
IDL-TG%,1.41 [1.23-1.60],0.071,,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.40 [1.23-1.59],0.085,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.38 [1.22-1.57],0.073,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.14 [0.99-1.32],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-C,0.76 [0.66-0.86],1.000,,LDL Cholesterol
M-LDL-C%,0.76 [0.67-0.85],0.446,,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.73 [0.65-0.83],0.236,,Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.70 [0.62-0.79],3.505e-04,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.70 [0.62-0.78],3.879e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
