Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.29 [1.08-1.56],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,1.18 [0.97-1.43],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.13 [0.93-1.37],1.000,,Apolipoprotein B
Gln,1.05 [0.86-1.28],1.000,,Glutamine
Clinical LDL-C,1.01 [0.83-1.24],1.000,,Clinical LDL Cholesterol
LA%,0.84 [0.69-1.03],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,0.81 [0.67-0.97],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.80 [0.67-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,0.76 [0.61-0.94],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.75 [0.62-0.90],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
