Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.61 [1.33-1.96],0.318,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gly,1.39 [1.14-1.68],1.000,,Glycine
Gln,1.15 [0.94-1.40],1.000,,Glutamine
M-LDL-PL%,1.15 [0.94-1.40],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
His,1.07 [0.88-1.30],1.000,,Histidine
VLDL-C,0.93 [0.76-1.13],1.000,,VLDL Cholesterol
LDL-CE,0.83 [0.68-1.00],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.79 [0.66-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.74 [0.61-0.90],1.000,,Total-Esterified Cholesterol
HDL-CE,0.68 [0.54-0.85],1.000,,Cholesteryl Esters in HDL
