Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.17 [1.04-1.31],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.07 [0.97-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.07 [0.96-1.20],1.000,,Valine
SFA%,1.06 [0.95-1.17],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.03 [0.92-1.15],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-C,1.00 [0.90-1.11],1.000,,VLDL Cholesterol
Remnant-C,0.96 [0.87-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.96 [0.86-1.06],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.95 [0.85-1.05],1.000,,Total-Cholesterol
M-LDL-FC%,0.89 [0.80-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
