Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.32 [1.22-1.43],8.593e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.31 [1.21-1.42],2.044e-06,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.30 [1.20-1.42],1.571e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-LDL-TG%,1.29 [1.19-1.39],3.140e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.27 [1.17-1.38],0.005,**,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-PL%,1.25 [1.15-1.36],0.011,*,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.25 [1.16-1.35],0.002,**,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.24 [1.14-1.34],0.037,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.81 [0.75-0.87],0.001,**,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-FC%,0.81 [0.75-0.87],0.007,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-C%,0.80 [0.74-0.87],0.003,**,Cholesterol to Total-Lipids in Small VLDL percentage
Total-L,0.80 [0.74-0.87],0.010,**,Total-Lipids in Lipoprotein Particles
ApoB,0.80 [0.74-0.87],0.014,*,Apolipoprotein B
M-VLDL-CE%,0.80 [0.75-0.86],5.603e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Cholines,0.80 [0.73-0.87],0.022,*,Total-Cholines
M-LDL-FC,0.80 [0.74-0.87],0.010,*,Free Cholesterol in Medium LDL
LDL-CE,0.80 [0.74-0.86],0.004,**,Cholesteryl Esters in LDL
PUFA,0.80 [0.73-0.86],0.007,**,Polyunsaturated Fatty Acids
LDL-L,0.79 [0.73-0.86],0.002,**,Total-Lipids in LDL
