Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.18 [1.01-1.39],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-CE%,1.07 [0.90-1.26],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ala,1.06 [0.90-1.25],1.000,,Alanine
Gln,1.05 [0.89-1.24],1.000,,Glutamine
Gly,1.02 [0.86-1.22],1.000,,Glycine
VLDL-C,0.92 [0.78-1.08],1.000,,VLDL Cholesterol
M-LDL-FC%,0.85 [0.72-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.83 [0.71-0.98],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.83 [0.71-0.97],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.80 [0.68-0.94],1.000,,Total-Cholesterol
