Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.75 [1.52-2.00],6.595e-10,***,Creatinine
M-HDL-TG%,1.16 [1.00-1.35],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,1.15 [0.99-1.33],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-CE%,1.01 [0.87-1.16],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.00 [0.87-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.92 [0.80-1.07],1.000,,VLDL Cholesterol
Remnant-C,0.85 [0.74-0.98],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.83 [0.73-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.82 [0.70-0.97],1.000,,Cholesteryl Esters in HDL
Total-C,0.82 [0.71-0.94],1.000,,Total-Cholesterol
