Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.14 [1.06-1.22],1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.10 [1.02-1.18],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.09 [1.01-1.17],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.05 [0.97-1.13],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.00 [0.94-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.93 [0.87-1.00],1.000,,VLDL Cholesterol
M-LDL-FC%,0.93 [0.86-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.90 [0.84-0.96],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.89 [0.83-0.95],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.88 [0.82-0.94],1.000,,Total-Cholesterol
