Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.96 [1.67-2.29],3.885e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,1.86 [1.66-2.09],3.282e-20,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.81 [1.63-2.01],7.620e-24,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.79 [1.59-2.00],2.788e-18,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,1.74 [1.58-1.91],9.657e-26,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.70 [1.55-1.86],1.410e-24,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.68 [1.54-1.84],2.904e-24,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.67 [1.50-1.86],6.985e-16,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.66 [1.51-1.82],5.815e-20,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.53 [1.38-1.69],3.913e-11,***,Glycoprotein Acetyls
L-HDL-PL%,1.51 [1.38-1.65],1.000e-14,***,Phospholipids to Total-Lipids in Large HDL percentage
Creatinine,1.50 [1.37-1.64],7.162e-13,***,Creatinine
XS-VLDL-PL%,1.48 [1.34-1.63],3.317e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.43 [1.28-1.58],6.546e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-TG%,1.39 [1.24-1.57],0.010,**,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-TG%,1.39 [1.25-1.54],7.749e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.38 [1.24-1.55],0.003,**,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,1.37 [1.24-1.51],6.809e-05,***,Triglycerides in Small HDL
M-HDL-PL%,1.36 [1.23-1.50],2.474e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.34 [1.22-1.48],1.700e-04,***,Triglycerides in Medium HDL
TG/PG,1.34 [1.20-1.49],0.015,*,Triglycerides to Phosphoglycerides ratio
HDL-TG,1.32 [1.20-1.45],0.001,**,Triglycerides in HDL
MUFA,1.30 [1.18-1.44],0.015,*,Monounsaturated Fatty Acids
XS-VLDL-TG,1.29 [1.18-1.42],0.010,**,Triglycerides in Very Small VLDL
XL-VLDL-TG,1.29 [1.17-1.41],0.030,*,Triglycerides in Very Large VLDL
XXL-VLDL-PL,1.27 [1.16-1.39],0.047,*,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.27 [1.16-1.38],0.037,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-CE%,0.78 [0.72-0.85],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-CE%,0.78 [0.71-0.85],0.018,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,0.76 [0.70-0.84],0.008,**,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-L,0.76 [0.69-0.84],0.031,*,Total-Lipids in Small LDL
M-LDL-PL,0.76 [0.68-0.84],0.029,*,Phospholipids in Medium LDL
L-HDL-CE%,0.75 [0.70-0.81],7.218e-09,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C,0.75 [0.68-0.83],0.007,**,Cholesterol in Medium LDL
M-LDL-P,0.75 [0.67-0.83],0.024,*,Concentration of Medium LDL Particles
LDL-CE,0.75 [0.68-0.82],0.001,**,Cholesteryl Esters in LDL
Total-FC,0.74 [0.67-0.82],0.001,**,Total-Free Cholesterol
S-LDL-PL,0.74 [0.67-0.82],0.004,**,Phospholipids in Small LDL
Unsaturation,0.74 [0.67-0.82],0.001,**,Degree of Unsaturation
Total-C,0.74 [0.67-0.81],1.106e-04,***,Total-Cholesterol
L-HDL-C%,0.74 [0.69-0.80],8.604e-10,***,Cholesterol to Total-Lipids in Large HDL percentage
LDL-L,0.74 [0.67-0.81],1.276e-04,***,Total-Lipids in LDL
L-LDL-PL%,0.74 [0.67-0.82],7.622e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
Total-CE,0.73 [0.67-0.81],6.196e-05,***,Total-Esterified Cholesterol
Remnant-C,0.73 [0.66-0.81],1.198e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-C,0.73 [0.66-0.81],6.264e-04,***,Cholesterol in Small LDL
ApoB,0.73 [0.66-0.81],2.655e-04,***,Apolipoprotein B
Non-HDL-C,0.73 [0.66-0.80],1.001e-05,***,Total-Cholesterol Minus HDL-C
LDL-P,0.73 [0.65-0.81],0.001,**,Concentration of LDL Particles
