Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.19 [0.98-1.44],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,1.18 [0.98-1.43],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Gln,1.14 [0.93-1.39],1.000,,Glutamine
His,1.08 [0.89-1.32],1.000,,Histidine
ApoB,1.06 [0.87-1.29],1.000,,Apolipoprotein B
Albumin,0.97 [0.80-1.18],1.000,,Albumin
LDL-FC,0.94 [0.77-1.14],1.000,,Free Cholesterol in LDL
M-LDL-FC%,0.82 [0.67-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,0.74 [0.58-0.94],1.000,,Free Cholesterol in HDL
Unsaturation,0.73 [0.59-0.89],1.000,,Degree of Unsaturation
