Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.30 [1.18-1.43],0.020,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-size,1.27 [1.16-1.40],0.074,,Average Diameter for VLDL Particles
XL-HDL-TG%,1.27 [1.16-1.39],0.042,*,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.26 [1.15-1.39],0.200,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,1.25 [1.14-1.36],0.269,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-C%,0.80 [0.73-0.87],0.018,*,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-C,0.76 [0.68-0.84],0.048,*,Cholesterol in Very Large HDL
L-HDL-L,0.76 [0.68-0.84],0.037,*,Total-Lipids in Large HDL
XL-HDL-CE,0.75 [0.68-0.84],0.037,*,Cholesteryl Esters in Very Large HDL
HDL-size,0.75 [0.67-0.83],0.022,*,Average Diameter for HDL Particles
L-HDL-C,0.74 [0.67-0.83],0.010,**,Cholesterol in Large HDL
L-HDL-CE,0.74 [0.67-0.83],0.010,*,Cholesteryl Esters in Large HDL
