Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gln,1.11 [1.01-1.22],1.000,,Glutamine
M-LDL-TG%,1.05 [0.95-1.16],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
DHA%,1.03 [0.93-1.13],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
MUFA%,1.02 [0.92-1.13],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Tyr,1.00 [0.91-1.10],1.000,,Tyrosine
VLDL-C,0.97 [0.89-1.07],1.000,,VLDL Cholesterol
Non-HDL-C,0.97 [0.88-1.06],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.96 [0.87-1.06],1.000,,Total-Cholesterol
M-LDL-FC%,0.96 [0.87-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.95 [0.87-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
