Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.48 [1.27-1.73],0.081,,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.46 [1.27-1.68],0.039,*,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.43 [1.24-1.64],0.090,,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.42 [1.24-1.64],0.150,,Triglycerides to Total-Lipids in Large LDL percentage
Glu-lactate,1.40 [1.23-1.60],0.055,,Glucose-lactate
IDL-CE%,0.72 [0.63-0.81],0.041,*,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C%,0.70 [0.62-0.80],0.032,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.70 [0.61-0.80],0.013,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,0.70 [0.61-0.79],0.008,**,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.69 [0.61-0.78],0.001,**,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-CE%,0.68 [0.59-0.79],0.030,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA%,0.68 [0.59-0.78],0.017,*,Linoleic Acid to Total-Fatty Acids percentage
Total-L,0.68 [0.59-0.78],0.015,*,Total-Lipids in Lipoprotein Particles
LDL-L,0.67 [0.58-0.78],0.015,*,Total-Lipids in LDL
LDL-CE,0.67 [0.58-0.78],0.018,*,Cholesteryl Esters in LDL
LDL-C,0.67 [0.58-0.77],0.007,**,LDL Cholesterol
LDL-PL,0.66 [0.57-0.77],0.017,*,Phospholipids in LDL
Total-PL,0.66 [0.57-0.77],0.010,*,Total-Phospholipids in Lipoprotein Particles
L-LDL-CE,0.66 [0.57-0.77],0.011,*,Cholesteryl Esters in Large LDL
L-LDL-L,0.66 [0.57-0.76],0.005,**,Total-Lipids in Large LDL
S-LDL-CE,0.66 [0.56-0.77],0.049,*,Cholesteryl Esters in Small LDL
Clinical LDL-C,0.66 [0.57-0.76],9.289e-04,***,Clinical LDL Cholesterol
L-LDL-C,0.65 [0.56-0.76],0.003,**,Cholesterol in Large LDL
ApoB,0.65 [0.56-0.76],0.007,**,Apolipoprotein B
PUFA,0.65 [0.56-0.75],0.003,**,Polyunsaturated Fatty Acids
Non-HDL-C,0.65 [0.56-0.75],4.472e-04,***,Total-Cholesterol Minus HDL-C
LDL-FC,0.64 [0.55-0.75],0.004,**,Free Cholesterol in LDL
VLDL-CE,0.64 [0.55-0.75],0.011,*,Cholesteryl Esters in VLDL
LDL-P,0.64 [0.55-0.76],0.027,*,Concentration of LDL Particles
L-LDL-PL,0.64 [0.55-0.75],0.003,**,Phospholipids in Large LDL
SM,0.64 [0.54-0.75],0.007,**,Sphingomyelins
L-LDL-P,0.63 [0.53-0.74],0.011,*,Concentration of Large LDL Particles
Total-C,0.63 [0.55-0.73],4.555e-05,***,Total-Cholesterol
Total-CE,0.63 [0.54-0.73],5.909e-05,***,Total-Esterified Cholesterol
Remnant-C,0.63 [0.54-0.73],1.413e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-C,0.62 [0.53-0.74],0.005,**,Cholesterol in Very Small VLDL
Total-FC,0.62 [0.54-0.72],1.126e-04,***,Total-Free Cholesterol
L-LDL-FC,0.62 [0.53-0.73],6.502e-04,***,Free Cholesterol in Large LDL
Omega-6,0.62 [0.54-0.72],7.887e-05,***,Omega-6 Fatty Acids
M-VLDL-C,0.62 [0.53-0.73],0.001,**,Cholesterol in Medium VLDL
IDL-P,0.61 [0.52-0.72],0.001,**,Concentration of IDL Particles
IDL-L,0.61 [0.53-0.71],4.272e-05,***,Total-Lipids in IDL
LA,0.61 [0.53-0.70],5.971e-06,***,Linoleic Acid
XS-VLDL-CE,0.61 [0.51-0.72],0.001,**,Cholesteryl Esters in Very Small VLDL
M-VLDL-CE,0.61 [0.52-0.71],4.239e-04,***,Cholesteryl Esters in Medium VLDL
IDL-C,0.61 [0.52-0.70],2.037e-05,***,Cholesterol in IDL
IDL-FC,0.60 [0.51-0.71],2.288e-04,***,Free Cholesterol in IDL
IDL-CE,0.60 [0.52-0.70],2.031e-05,***,Cholesteryl Esters in IDL
IDL-PL,0.60 [0.51-0.71],1.768e-04,***,Phospholipids in IDL
