Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.18 [1.02-1.35],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.16 [1.01-1.35],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.12 [0.99-1.28],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.07 [0.94-1.21],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-TG%,1.04 [0.92-1.17],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
Remnant-C,0.91 [0.79-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.89 [0.78-1.02],1.000,,Total-Cholesterol Minus HDL-C
M-LDL-FC%,0.88 [0.77-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,0.88 [0.77-1.00],1.000,,LDL Cholesterol
Total-C,0.88 [0.76-1.01],1.000,,Total-Cholesterol
