Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.57 [1.30-1.90],0.736,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.51 [1.26-1.82],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.40 [1.14-1.72],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.02 [0.84-1.24],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.01 [0.83-1.23],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
LDL-CE,0.81 [0.67-0.98],1.000,,Cholesteryl Esters in LDL
Total-CE,0.74 [0.61-0.89],1.000,,Total-Esterified Cholesterol
IDL-CE%,0.67 [0.57-0.79],0.568,,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.67 [0.57-0.78],0.141,,Cholesterol to Total-Lipids in IDL percentage
HDL-CE,0.64 [0.50-0.80],1.000,,Cholesteryl Esters in HDL
