Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-FC%,1.07 [0.95-1.21],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-FC%,1.07 [0.94-1.22],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C%,1.04 [0.92-1.18],1.000,,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,1.01 [0.90-1.15],1.000,,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-FC,1.01 [0.89-1.14],1.000,,Free Cholesterol in Small LDL
PUFA%,0.99 [0.87-1.13],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.95 [0.83-1.08],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-TG%,0.93 [0.82-1.05],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
DHA%,0.92 [0.81-1.04],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.86 [0.76-0.97],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
