Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-BCAA,1.03 [0.88-1.21],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-FC%,1.03 [0.89-1.20],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoA1,1.03 [0.87-1.21],1.000,,Apolipoprotein A1
Val,1.01 [0.86-1.18],1.000,,Valine
HDL-C,1.00 [0.84-1.19],1.000,,HDL Cholesterol
M-LDL-PL%,0.99 [0.85-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-CE,0.97 [0.83-1.12],1.000,,Cholesteryl Esters in LDL
Total-C,0.96 [0.83-1.12],1.000,,Total-Cholesterol
VLDL-C,0.96 [0.82-1.12],1.000,,VLDL Cholesterol
Remnant-C,0.95 [0.82-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
