Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.24 [1.07-1.44],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.16 [0.99-1.38],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,1.11 [0.95-1.30],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-CE,1.04 [0.89-1.21],1.000,,Cholesteryl Esters in VLDL
DHA%,1.02 [0.86-1.20],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-C,1.00 [0.84-1.19],1.000,,HDL Cholesterol
Total-C,0.98 [0.84-1.15],1.000,,Total-Cholesterol
Non-HDL-C,0.98 [0.84-1.14],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.96 [0.83-1.12],1.000,,LDL Cholesterol
M-LDL-FC%,0.88 [0.76-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
