Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.83 [1.53-2.18],3.064e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Phe,1.81 [1.57-2.09],3.266e-11,***,Phenylalanine
IDL-PL%,1.66 [1.38-1.98],0.007,**,Phospholipids to Total-Lipids in IDL percentage
GlycA,1.65 [1.39-1.96],0.003,**,Glycoprotein Acetyls
M-LDL-PL%,1.24 [1.03-1.48],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.65 [0.56-0.76],0.006,**,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-C%,0.65 [0.55-0.76],0.020,*,Cholesterol to Total-Lipids in Large LDL percentage
IDL-CE%,0.64 [0.54-0.74],0.002,**,Cholesteryl Esters to Total-Lipids in IDL percentage
S-HDL-L,0.61 [0.51-0.73],0.016,*,Total-Lipids in Small HDL
S-HDL-CE,0.59 [0.50-0.71],0.001,**,Cholesteryl Esters in Small HDL
Albumin,0.59 [0.51-0.68],1.708e-07,***,Albumin
S-HDL-C,0.59 [0.49-0.70],7.869e-04,***,Cholesterol in Small HDL
S-HDL-P,0.59 [0.49-0.70],0.002,**,Concentration of Small HDL Particles
