Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.22 [1.13-1.32],0.227,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
MUFA%,1.21 [1.12-1.30],0.292,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-C,1.05 [0.97-1.13],1.000,,VLDL Cholesterol
Non-HDL-C,1.01 [0.94-1.08],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,1.00 [0.93-1.08],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-HDL-L,0.79 [0.71-0.87],0.227,,Total-Lipids in Large HDL
L-HDL-CE,0.78 [0.70-0.86],0.227,,Cholesteryl Esters in Large HDL
L-HDL-FC,0.78 [0.70-0.86],0.379,,Free Cholesterol in Large HDL
HDL-size,0.78 [0.71-0.86],0.080,,Average Diameter for HDL Particles
L-HDL-C,0.78 [0.70-0.86],0.184,,Cholesterol in Large HDL
