Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.57 [1.47-1.68],3.415e-37,***,Glycoprotein Acetyls
Phe,1.52 [1.43-1.61],5.084e-42,***,Phenylalanine
XS-VLDL-PL%,1.51 [1.41-1.61],9.083e-30,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.45 [1.36-1.55],8.272e-25,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-PL%,1.40 [1.31-1.50],3.498e-19,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.40 [1.32-1.49],5.879e-22,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.39 [1.30-1.48],9.069e-18,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.29 [1.20-1.38],1.007e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.26 [1.18-1.34],4.635e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.23 [1.15-1.32],3.225e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.23 [1.15-1.31],6.046e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.21 [1.13-1.30],0.004,**,Phospholipids to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.21 [1.13-1.29],0.013,*,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-FC%,0.85 [0.80-0.91],0.041,*,Free Cholesterol to Total-Lipids in Small LDL percentage
Omega-3%,0.84 [0.78-0.89],0.043,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-FC%,0.83 [0.77-0.89],0.039,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-L,0.82 [0.76-0.87],8.127e-04,***,Total-Lipids in Medium VLDL
S-VLDL-FC,0.82 [0.76-0.87],7.775e-04,***,Free Cholesterol in Small VLDL
Phosphoglyc,0.82 [0.76-0.87],0.001,**,Phosphoglycerides
M-VLDL-P,0.81 [0.76-0.87],5.636e-04,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.81 [0.76-0.87],3.085e-04,***,Phospholipids in Medium VLDL
S-HDL-CE%,0.81 [0.76-0.86],1.044e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LA,0.81 [0.76-0.87],1.088e-04,***,Linoleic Acid
Omega-3,0.81 [0.76-0.87],6.973e-04,***,Omega-3 Fatty Acids
L-LDL-FC%,0.81 [0.76-0.86],4.124e-06,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Omega-6,0.81 [0.76-0.86],7.954e-05,***,Omega-6 Fatty Acids
M-VLDL-FC,0.81 [0.75-0.86],6.467e-05,***,Free Cholesterol in Medium VLDL
S-HDL-C%,0.80 [0.75-0.86],3.161e-06,***,Cholesterol to Total-Lipids in Small HDL percentage
Total-BCAA,0.80 [0.75-0.86],7.873e-04,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.80 [0.75-0.86],0.001,**,Leucine
S-VLDL-PL%,0.80 [0.75-0.86],7.081e-06,***,Phospholipids to Total-Lipids in Small VLDL percentage
Unsaturation,0.80 [0.75-0.86],6.833e-05,***,Degree of Unsaturation
His,0.80 [0.75-0.86],1.671e-05,***,Histidine
S-VLDL-FC%,0.80 [0.75-0.85],1.581e-06,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Cholines,0.80 [0.75-0.86],3.455e-05,***,Total-Cholines
PC,0.80 [0.75-0.86],4.318e-05,***,Phosphatidylcholines
S-LDL-P,0.80 [0.75-0.85],1.206e-05,***,Concentration of Small LDL Particles
S-HDL-PL,0.80 [0.75-0.85],7.341e-06,***,Phospholipids in Small HDL
L-LDL-P,0.80 [0.74-0.85],9.334e-06,***,Concentration of Large LDL Particles
