Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-CE,1.05 [0.92-1.19],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,1.03 [0.90-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,1.03 [0.90-1.17],1.000,,Cholesteryl Esters in VLDL
PUFA/MUFA,1.03 [0.89-1.18],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Total-CE,1.01 [0.88-1.16],1.000,,Total-Esterified Cholesterol
PUFA,1.00 [0.87-1.14],1.000,,Polyunsaturated Fatty Acids
Omega-6,0.99 [0.87-1.13],1.000,,Omega-6 Fatty Acids
SFA,0.98 [0.86-1.12],1.000,,Saturated Fatty Acids
MUFA,0.98 [0.85-1.12],1.000,,Monounsaturated Fatty Acids
M-LDL-TG%,0.91 [0.80-1.05],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
