Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.04 [0.95-1.15],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-3%,1.03 [0.94-1.14],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,1.02 [0.92-1.13],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
MUFA%,1.02 [0.92-1.13],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Tyr,1.01 [0.92-1.12],1.000,,Tyrosine
VLDL-C,0.98 [0.89-1.08],1.000,,VLDL Cholesterol
Non-HDL-C,0.97 [0.88-1.07],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.97 [0.88-1.07],1.000,,Total-Cholesterol
Remnant-C,0.96 [0.87-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.96 [0.87-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
