Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.05 [0.97-1.14],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-C%,1.05 [0.97-1.14],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-TG%,1.04 [0.96-1.13],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-LDL-PL%,1.03 [0.96-1.11],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.00 [0.92-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.00 [0.92-1.08],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-C,0.97 [0.90-1.05],1.000,,VLDL Cholesterol
LDL-CE,0.94 [0.87-1.01],1.000,,Cholesteryl Esters in LDL
Total-C,0.93 [0.86-1.01],1.000,,Total-Cholesterol
HDL-CE,0.92 [0.85-1.01],1.000,,Cholesteryl Esters in HDL
