Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"6.046 [-0.368,12.460]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,"5.647 [-0.304,11.597]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,"4.970 [-1.469,11.409]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-C,"1.442 [-4.516,7.399]",1.000,,HDL Cholesterol
HDL-CE,"1.285 [-4.657,7.226]",1.000,,Cholesteryl Esters in HDL
LDL-C,"-0.761 [-6.417,4.895]",1.000,,LDL Cholesterol
Clinical LDL-C,"-0.864 [-6.572,4.843]",1.000,,Clinical LDL Cholesterol
Non-HDL-C,"-0.965 [-6.675,4.745]",1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,"-1.246 [-6.923,4.431]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-TG%,"-1.640 [-7.411,4.131]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
