Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"78.023 [24.596,131.451]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-C%,"56.266 [-7.522,120.054]",1.000,,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE%,"53.017 [-10.191,116.225]",1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-FC%,"33.449 [-30.513,97.411]",1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
IDL-FC%,"13.647 [-35.837,63.131]",1.000,,Free Cholesterol to Total-Lipids in IDL percentage
HDL-CE,"-12.831 [-62.333,36.670]",1.000,,Cholesteryl Esters in HDL
M-LDL-TG%,"-25.993 [-74.069,22.083]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Total-C,"-28.924 [-78.603,20.755]",1.000,,Total-Cholesterol
VLDL-C,"-42.139 [-88.080,3.803]",1.000,,VLDL Cholesterol
GlycA,"-124.199 [-173.583,-74.814]",0.191,,Glycoprotein Acetyls
