Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,"0.002 [-0.000,0.005]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
ApoA1,"0.001 [-0.002,0.004]",1.000,,Apolipoprotein A1
Gln,"0.001 [-0.002,0.003]",1.000,,Glutamine
M-LDL-PL%,"0.000 [-0.002,0.003]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-CE%,"0.000 [-0.002,0.002]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
LA%,"-0.000 [-0.003,0.003]",1.000,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,"-0.001 [-0.004,0.002]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,"-0.002 [-0.005,0.001]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,"-0.004 [-0.007,-0.001]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,"-0.005 [-0.007,-0.002]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
