Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"26.391 [-0.926,53.708]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Val,"15.535 [-8.198,39.269]",1.000,,Valine
Total-BCAA,"12.658 [-10.848,36.163]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,"11.102 [-12.476,34.680]",1.000,,Leucine
Ile,"1.463 [-21.714,24.641]",1.000,,Isoleucine
VLDL-CE,"-3.821 [-27.207,19.564]",1.000,,Cholesteryl Esters in VLDL
SFA%,"-10.623 [-35.616,14.369]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,"-13.706 [-37.266,9.853]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,"-18.503 [-43.077,6.072]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,"-22.146 [-48.949,4.656]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
