Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Phe,"0.023 [0.003,0.044]",1.000,,Phenylalanine
Gly,"0.007 [-0.011,0.026]",1.000,,Glycine
M-LDL-PL%,"0.004 [-0.016,0.024]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,"0.002 [-0.019,0.023]",1.000,,Tyrosine
Gln,"0.001 [-0.020,0.022]",1.000,,Glutamine
VLDL-C,"-0.023 [-0.043,-0.003]",1.000,,VLDL Cholesterol
HDL-CE,"-0.026 [-0.048,-0.004]",1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,"-0.031 [-0.054,-0.007]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,"-0.041 [-0.061,-0.021]",1.000,,Cholesteryl Esters in LDL
Total-C,"-0.047 [-0.068,-0.025]",1.000,,Total-Cholesterol
