Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"12.216 [1.045,23.388]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Val,"3.332 [-6.374,13.039]",1.000,,Valine
Total-BCAA,"1.840 [-7.774,11.453]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
HDL-CE,"1.733 [-8.617,12.082]",1.000,,Cholesteryl Esters in HDL
HDL-C,"1.400 [-8.978,11.778]",1.000,,HDL Cholesterol
M-LDL-PL%,"-2.502 [-11.377,6.374]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Remnant-C,"-3.900 [-13.787,5.988]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,"-5.063 [-15.448,5.323]",1.000,,Total-Cholesterol
Non-HDL-C,"-5.356 [-15.301,4.588]",1.000,,Total-Cholesterol Minus HDL-C
GlycA,"-25.458 [-35.783,-15.134]",0.310,,Glycoprotein Acetyls
