Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA%,"5.117 [-3.870,14.104]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA,"4.883 [-2.626,12.392]",1.000,,Docosahexaenoic Acid
M-LDL-FC%,"4.595 [-3.989,13.178]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,"3.688 [-5.147,12.522]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
SFA%,"2.398 [-5.454,10.250]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
LDL-CE,"-0.282 [-7.812,7.248]",1.000,,Cholesteryl Esters in LDL
VLDL-CE,"-0.359 [-7.706,6.988]",1.000,,Cholesteryl Esters in VLDL
Omega-6/Omega-3,"-1.011 [-8.477,6.454]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-PL%,"-2.382 [-9.196,4.432]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
MUFA%,"-9.020 [-17.440,-0.600]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
