Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-CE,"0.019 [0.001,0.038]",1.000,,Total-Esterified Cholesterol
LDL-CE,"0.015 [-0.003,0.033]",1.000,,Cholesteryl Esters in LDL
HDL-CE,"0.015 [-0.004,0.034]",1.000,,Cholesteryl Esters in HDL
VLDL-C,"0.008 [-0.009,0.025]",1.000,,VLDL Cholesterol
M-LDL-FC%,"0.002 [-0.018,0.022]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-TG%,"-0.000 [-0.020,0.019]",1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-CE%,"-0.001 [-0.023,0.021]",1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-PL%,"-0.002 [-0.019,0.015]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-PL%,"-0.008 [-0.030,0.013]",1.000,,Phospholipids to Total-Lipids in Large HDL percentage
IDL-TG%,"-0.009 [-0.028,0.010]",1.000,,Triglycerides to Total-Lipids in IDL percentage
