Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Val,"14.593 [-5.463,34.650]",1.000,,Valine
Total-BCAA,"9.851 [-10.014,29.715]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,"5.888 [-13.699,25.474]",1.000,,Isoleucine
Leu,"4.484 [-15.442,24.410]",1.000,,Leucine
M-LDL-FC%,"2.276 [-20.813,25.365]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,"-5.202 [-25.695,15.291]",1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Remnant-C,"-6.544 [-26.977,13.888]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,"-6.840 [-27.391,13.711]",1.000,,Total-Cholesterol Minus HDL-C
VLDL-C,"-7.742 [-27.591,12.107]",1.000,,VLDL Cholesterol
Total-C,"-9.341 [-30.802,12.121]",1.000,,Total-Cholesterol
