Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-PL%,1.06 [0.93-1.22],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.05 [0.89-1.22],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-TG%,1.04 [0.90-1.21],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-PL%,1.04 [0.90-1.19],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG%,1.01 [0.87-1.17],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-C,0.97 [0.85-1.11],1.000,,VLDL Cholesterol
M-LDL-FC%,0.96 [0.82-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.96 [0.83-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.96 [0.83-1.10],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.95 [0.82-1.10],1.000,,Total-Cholesterol
