Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.29 [1.17-1.42],0.073,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
GlycA,1.28 [1.16-1.42],0.266,,Glycoprotein Acetyls
M-LDL-TG%,1.15 [1.04-1.27],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.04 [0.94-1.16],1.000,,Monounsaturated Fatty Acids
Omega-6,1.02 [0.92-1.12],1.000,,Omega-6 Fatty Acids
ApoB/ApoA1,0.91 [0.82-1.01],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.88 [0.80-0.98],1.000,,Valine
Total-BCAA,0.87 [0.79-0.97],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Albumin,0.80 [0.73-0.88],0.478,,Albumin
Omega-3%,0.77 [0.69-0.85],0.036,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
