Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.12 [0.95-1.31],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,1.11 [0.96-1.29],1.000,,Glycine
Gln,1.11 [0.94-1.30],1.000,,Glutamine
His,1.03 [0.88-1.21],1.000,,Histidine
Phe,1.02 [0.87-1.19],1.000,,Phenylalanine
M-LDL-FC%,0.93 [0.78-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,0.90 [0.77-1.05],1.000,,Cholesteryl Esters in VLDL
LDL-CE,0.84 [0.72-0.98],1.000,,Cholesteryl Esters in LDL
Total-CE,0.79 [0.67-0.93],1.000,,Total-Esterified Cholesterol
HDL-CE,0.77 [0.65-0.92],1.000,,Cholesteryl Esters in HDL
