Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.36 [1.20-1.55],0.219,,Glycoprotein Acetyls
S-HDL-TG,1.31 [1.17-1.47],0.686,,Triglycerides in Small HDL
M-LDL-TG%,1.24 [1.10-1.40],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Gly,1.09 [0.98-1.22],1.000,,Glycine
Gln,1.01 [0.89-1.14],1.000,,Glutamine
Omega-3%,0.95 [0.84-1.08],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.81 [0.71-0.92],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.79 [0.70-0.90],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,0.76 [0.67-0.85],0.887,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,0.75 [0.67-0.85],0.513,,Free Cholesterol to Total-Lipids in Medium LDL percentage
