Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.11 [0.91-1.35],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-CE%,1.09 [0.88-1.36],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,1.08 [0.87-1.35],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
Gln,1.07 [0.87-1.31],1.000,,Glutamine
M-HDL-FC%,1.01 [0.80-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
ApoA1,0.96 [0.78-1.19],1.000,,Apolipoprotein A1
M-LDL-FC%,0.96 [0.77-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,0.83 [0.68-1.01],1.000,,Apolipoprotein B
Clinical LDL-C,0.81 [0.66-0.98],1.000,,Clinical LDL Cholesterol
LDL-C,0.80 [0.66-0.97],1.000,,LDL Cholesterol
