Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,1.34 [1.10-1.64],1.000,,Cholesteryl Esters in HDL
Total-C,1.22 [1.00-1.48],1.000,,Total-Cholesterol
Remnant-C,1.13 [0.93-1.37],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-TG%,1.12 [0.92-1.36],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-C,1.08 [0.89-1.31],1.000,,VLDL Cholesterol
L-VLDL-TG%,1.00 [0.82-1.22],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-TG%,0.99 [0.81-1.22],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-CE%,0.97 [0.79-1.19],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.97 [0.79-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-PL%,0.89 [0.72-1.10],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
