Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.59 [1.32-1.92],0.335,,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.54 [1.28-1.85],0.900,,Triglycerides to Total-Lipids in IDL percentage
Gly,1.35 [1.14-1.61],1.000,,Glycine
Gln,1.16 [0.96-1.42],1.000,,Glutamine
M-LDL-PL%,1.14 [0.94-1.39],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.93 [0.77-1.13],1.000,,VLDL Cholesterol
LDL-CE,0.83 [0.68-1.00],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.79 [0.66-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.76 [0.63-0.91],1.000,,Total-Esterified Cholesterol
HDL-CE,0.73 [0.59-0.90],1.000,,Cholesteryl Esters in HDL
