Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.12 [1.01-1.25],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-C,1.05 [0.94-1.16],1.000,,HDL Cholesterol
HDL-CE,1.05 [0.94-1.16],1.000,,Cholesteryl Esters in HDL
ApoA1,1.04 [0.94-1.15],1.000,,Apolipoprotein A1
M-LDL-PL%,1.01 [0.91-1.12],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.80 [0.73-0.88],0.695,,Cholesterol to Total-Lipids in Small LDL percentage
Albumin,0.79 [0.72-0.87],0.545,,Albumin
Leu,0.76 [0.68-0.85],0.466,,Leucine
Total-BCAA,0.75 [0.67-0.84],0.128,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.75 [0.67-0.84],0.120,,Valine
